        node           T1           T3          T10     q_HL_int
  285.000000   332.927000   337.995000    30.000000   439.878000
  286.000000   333.143000   338.207000    30.000000   440.296000
  287.000000   333.358000   338.419000    30.000000   440.715000
  288.000000   333.574000   338.631000    30.000000   441.134000
  289.000000   333.789000   338.843000    30.000000   441.553000
  290.000000   334.004000   339.054000    30.000000   442.233000
  291.000000   334.220000   339.265000    30.000000   442.653000
  292.000000   334.435000   339.477000    30.000000   443.073000
  293.000000   334.650000   339.689000    30.000000   443.493000
  294.000000   334.865000   339.900000    30.000000   443.913000
  295.000000   335.080000   340.112000    30.000000   444.334000
  296.000000   335.296000   340.323000    30.000000   445.016000
  297.000000   335.511000   340.534000    30.000000   445.438000
  298.000000   335.726000   340.746000    30.000000   445.859000
  299.000000   335.941000   340.957000    30.000000   446.281000
  300.000000   336.156000   341.168000    30.000000   446.703000
  301.000000   336.370000   341.380000    30.000000   447.125000
  302.000000   336.585000   341.590000    30.000000   447.809000
  303.000000   336.800000   341.802000    30.000000   448.231000
  304.000000   337.015000   342.013000    30.000000   448.654000
  305.000000   337.230000   342.224000    30.000000   449.077000
  306.000000   337.444000   342.435000    30.000000   449.501000
  307.000000   337.659000   342.646000    30.000000   449.924000
  308.000000   337.873000   342.857000    30.000000   450.610000
  309.000000   338.088000   343.068000    30.000000   451.034000
  310.000000   338.302000   343.278000    30.000000   451.458000
  311.000000   338.517000   343.489000    30.000000   451.883000
  312.000000   338.731000   343.700000    30.000000   452.308000
  313.000000   338.946000   343.911000    30.000000   452.733000
  314.000000   339.160000   344.121000    30.000000   453.420000
  315.000000   339.374000   344.332000    30.000000   453.846000
  316.000000   339.588000   344.543000    30.000000   454.272000
  317.000000   339.803000   344.753000    30.000000   454.698000
  318.000000   340.017000   344.964000    30.000000   455.124000
  319.000000   340.231000   345.175000    30.000000   455.551000
  320.000000   340.445000   345.385000    30.000000   456.240000
  321.000000   340.659000   345.595000    30.000000   456.668000
  322.000000   340.873000   345.806000    30.000000   457.096000
  323.000000   341.087000   346.016000    30.000000   457.523000
  324.000000   341.301000   346.226000    30.000000   457.951000
  325.000000   341.514000   346.437000    30.000000   458.380000
  326.000000   341.728000   346.647000    30.000000   459.070000
  327.000000   341.942000   346.857000    30.000000   459.499000
  328.000000   342.156000   347.067000    30.000000   459.928000
  329.000000   342.369000   347.277000    30.000000   460.357000
  330.000000   342.583000   347.487000    30.000000   460.787000
  331.000000   342.796000   347.698000    30.000000   461.216000
  332.000000   343.010000   347.907000    30.000000   461.908000
  333.000000   343.223000   348.117000    30.000000   462.339000
  334.000000   343.437000   348.327000    30.000000   462.769000
  335.000000   343.650000   348.537000    30.000000   463.200000
  336.000000   343.864000   348.747000    30.000000   463.631000
  337.000000   344.077000   348.957000    30.000000   464.063000
  338.000000   344.290000   349.167000    30.000000   464.494000
  339.000000   344.503000   349.376000    30.000000   465.188000
  340.000000   344.716000   349.586000    30.000000   465.620000
  341.000000   344.930000   349.796000    30.000000   466.053000
  342.000000   345.143000   350.005000    30.000000   466.486000
  343.000000   345.356000   350.215000    30.000000   466.918000
  344.000000   345.569000   350.424000    30.000000   467.352000
  345.000000   345.782000   350.634000    30.000000   468.048000
  346.000000   345.994000   350.843000    30.000000   468.482000
  347.000000   346.207000   351.053000    30.000000   468.916000
  348.000000   346.420000   351.262000    30.000000   469.350000
  349.000000   346.633000   351.471000    30.000000   469.785000
