         r_int      r_ext      T_int      T_ext      nCells      qConv_int      qConv_ext
 case245    0.05500    0.07500      450.0      350.0       30.0  -143.698   143.868
 case246    0.05500    0.07500      450.0      350.0       45.0  -142.543   142.584
 case247    0.05500    0.07500      450.0      350.0       60.0  -142.303   143.081
 case248    0.05500    0.07500      450.0      350.0       75.0  -139.277   147.603
 case249    0.05500    0.07500      450.0      300.0       30.0  -244.352   244.464
 case250    0.05500    0.07500      450.0      300.0       45.0  -241.429   241.587
 case251    0.05500    0.07500      450.0      300.0       60.0  -241.306   243.352
 case252    0.05500    0.07500      450.0      300.0       75.0  -239.941   250.840
 case253    0.05500    0.09500      618.0      426.0       30.0  -322.323   323.741
 case254    0.05500    0.09500      618.0      426.0       45.0  -305.776   306.461
 case255    0.05500    0.09500      618.0      426.0       60.0  -300.966   306.412
 case256    0.05500    0.09500      618.0      426.0       75.0  -281.239   322.953
 case257    0.05500    0.09500      618.0      518.0       30.0  -150.535   151.167
 case258    0.05500    0.09500      618.0      518.0       45.0  -143.006   143.214
 case259    0.05500    0.09500      618.0      518.0       60.0  -130.515   133.319
 case260    0.05500    0.09500      618.0      518.0       75.0  -117.422   141.483
 case261    0.05500    0.09500      618.0      468.0       30.0  -232.586   233.364
 case262    0.05500    0.09500      618.0      468.0       45.0  -222.688   223.094
 case263    0.05500    0.09500      618.0      468.0       60.0  -219.214   223.698
 case264    0.05500    0.09500      618.0      468.0       75.0  -202.505   235.872
 case265    0.05500    0.09500      550.0      358.0       30.0  -335.046   336.557
 case266    0.05500    0.09500      550.0      358.0       45.0  -316.359   317.056
 case267    0.05500    0.09500      550.0      358.0       60.0  -311.582   316.221
 case268    0.05500    0.09500      550.0      358.0       75.0  -294.961   332.333
 case269    0.05500    0.09500      550.0      450.0       30.0  -141.507   142.341
 case270    0.05500    0.09500      550.0      450.0       45.0  -137.014   137.159
 case271    0.05500    0.09500      550.0      450.0       60.0  -134.904   137.632
 case272    0.05500    0.09500      550.0      450.0       75.0  -123.440   145.417
 case273    0.05500    0.09500      550.0      400.0       30.0  -241.351   242.352
 case274    0.05500    0.09500      550.0      400.0       45.0  -230.148   230.589
 case275    0.05500    0.09500      550.0      400.0       60.0  -226.692   230.882
 case276    0.05500    0.09500      550.0      400.0       75.0  -211.517   243.452
 case277    0.05500    0.09500      450.0      258.0       30.0  -358.797   360.272
 case278    0.05500    0.09500      450.0      258.0       45.0  -336.702   337.376
 case279    0.05500    0.09500      450.0      258.0       60.0  -332.736   332.945
 case280    0.05500    0.09500      450.0      258.0       75.0  -335.748   340.316
 case281    0.05500    0.09500      450.0      350.0       30.0  -150.854   151.356
 case282    0.05500    0.09500      450.0      350.0       45.0  -144.837   145.082
 case283    0.05500    0.09500      450.0      350.0       60.0  -142.926   145.318
 case284    0.05500    0.09500      450.0      350.0       75.0  -134.142   152.990
 case285    0.05500    0.09500      450.0      300.0       30.0  -257.789   258.817
 case286    0.05500    0.09500      450.0      300.0       45.0  -243.856   244.409
 case287    0.05500    0.09500      450.0      300.0       60.0  -241.238   243.336
 case288    0.05500    0.09500      450.0      300.0       75.0  -234.385   253.901
 case289    0.05500    0.11500      618.0      426.0       30.0  -356.868   360.324
 case290    0.05500    0.11500      618.0      426.0       45.0  -329.899   331.701
 case291    0.05500    0.11500      618.0      426.0       60.0  -313.909   319.040
 case292    0.05500    0.11500      618.0      426.0       75.0  -286.173   325.332
 case293    0.05500    0.11500      618.0      518.0       30.0  -150.751   152.122
 case294    0.05500    0.11500      618.0      518.0       45.0  -140.602   141.142
 case295    0.05500    0.11500      618.0      518.0       60.0  -134.198   137.416
 case296    0.05500    0.11500      618.0      518.0       75.0   -88.037   151.726
 case297    0.05500    0.11500      618.0      468.0       30.0  -259.167   259.700
 case298    0.05500    0.11500      618.0      468.0       45.0  -238.732   239.842
 case299    0.05500    0.11500      618.0      468.0       60.0  -227.370   231.579
 case300    0.05500    0.11500      618.0      468.0       75.0  -196.973   240.638
 case301    0.05500    0.11500      550.0      358.0       30.0  -370.707   373.700
 case302    0.05500    0.11500      550.0      358.0       45.0  -343.438   344.706
 case303    0.05500    0.11500      550.0      358.0       60.0  -325.548   330.296
 case304    0.05500    0.11500      550.0      358.0       75.0  -299.795   335.427
 case305    0.05500    0.11500      550.0      450.0       30.0  -157.780   158.081
 case306    0.05500    0.11500      550.0      450.0       45.0  -145.643   146.232
 case307    0.05500    0.11500      550.0      450.0       60.0  -139.108   141.881
 case308    0.05500    0.11500      550.0      450.0       75.0  -110.202   151.526
 case309    0.05500    0.11500      550.0      400.0       30.0  -270.600   269.562
 case310    0.05500    0.11500      550.0      400.0       45.0  -247.627   248.725
 case311    0.05500    0.11500      550.0      400.0       60.0  -235.772   239.623
 case312    0.05500    0.11500      550.0      400.0       75.0  -214.894   244.711
 case313    0.05500    0.11500      450.0      258.0       30.0  -395.265   398.211
 case314    0.05500    0.11500      450.0      258.0       45.0  -366.753   368.045
 case315    0.05500    0.11500      450.0      258.0       60.0  -348.177   349.591
 case316    0.05500    0.11500      450.0      258.0       75.0  -342.268   344.160
 case317    0.05500    0.11500      450.0      350.0       30.0  -167.313   168.300
 case318    0.05500    0.11500      450.0      350.0       45.0  -154.864   155.564
 case319    0.05500    0.11500      450.0      350.0       60.0  -147.981   150.247
 case320    0.05500    0.11500      450.0      350.0       75.0  -135.134   153.892
 case321    0.05500    0.11500      450.0      300.0       30.0  -285.181   287.625
 case322    0.05500    0.11500      450.0      300.0       45.0  -263.905   265.168
 case323    0.05500    0.11500      450.0      300.0       60.0  -251.338   254.183
 case324    0.05500    0.11500      450.0      300.0       75.0  -235.225   256.736
